#Release 14.7 - par P.20131013 (lin)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Jan  3 19:37:35 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       vga_map.ncd
#OUTPUT FILE:      vga_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -1
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,IOB33S,IO_L9N_T1_DQS_AD7N_35,UNUSED,,35,,,,,,,,,
A2,,,GND,,,,,,,,,,,,
A3,vgared<0>,IOB33,IO_L8N_T1_AD14N_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
A4,vgared<3>,IOB33,IO_L8P_T1_AD14P_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
A5,vgagreen<1>,IOB33,IO_L3N_T0_DQS_AD5N_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
A6,vgagreen<3>,IOB33,IO_L3P_T0_DQS_AD5P_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
A7,,,VCCO_35,,,35,,,,,3.30,,,,
A8,,IOB33S,IO_L12N_T1_MRCC_16,UNUSED,,16,,,,,,,,,
A9,,IOB33S,IO_L14N_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A10,,IOB33M,IO_L14P_T2_SRCC_16,UNUSED,,16,,,,,,,,,
A11,,IOB33S,IO_L4N_T0_15,UNUSED,,15,,,,,,,,,
A12,,,GND,,,,,,,,,,,,
A13,,IOB33M,IO_L9P_T1_DQS_AD3P_15,UNUSED,,15,,,,,,,,,
A14,,IOB33S,IO_L9N_T1_DQS_AD3N_15,UNUSED,,15,,,,,,,,,
A15,,IOB33M,IO_L8P_T1_AD10P_15,UNUSED,,15,,,,,,,,,
A16,,IOB33S,IO_L8N_T1_AD10N_15,UNUSED,,15,,,,,,,,,
A17,,,VCCO_15,,,15,,,,,3.30,,,,
A18,,IOB33S,IO_L10N_T1_AD11N_15,UNUSED,,15,,,,,,,,,
B1,,IOB33M,IO_L9P_T1_DQS_AD7P_35,UNUSED,,35,,,,,,,,,
B2,,IOB33S,IO_L10N_T1_AD15N_35,UNUSED,,35,,,,,,,,,
B3,,IOB33M,IO_L10P_T1_AD15P_35,UNUSED,,35,,,,,,,,,
B4,vgared<1>,IOB33,IO_L7N_T1_AD6N_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,vgagreen<2>,IOB33,IO_L2N_T0_AD12N_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
B7,vgablue<0>,IOB33,IO_L2P_T0_AD12P_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
B8,,IOB33M,IO_L12P_T1_MRCC_16,UNUSED,,16,,,,,,,,,
B9,,IOB33S,IO_L11N_T1_SRCC_16,UNUSED,,16,,,,,,,,,
B10,,,VCCO_16,,,16,,,,,any******,,,,
B11,hsync,IOB33,IO_L4P_T0_15,OUTPUT,LVCMOS33,15,12,SLOW,,,,LOCATED,NO,NONE,
B12,vsync,IOB33,IO_L3N_T0_DQS_AD1N_15,OUTPUT,LVCMOS33,15,12,SLOW,,,,LOCATED,NO,NONE,
B13,,IOB33M,IO_L2P_T0_AD8P_15,UNUSED,,15,,,,,,,,,
B14,,IOB33S,IO_L2N_T0_AD8N_15,UNUSED,,15,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,IOB33M,IO_L7P_T1_AD2P_15,UNUSED,,15,,,,,,,,,
B17,,IOB33S,IO_L7N_T1_AD2N_15,UNUSED,,15,,,,,,,,,
B18,,IOB33M,IO_L10P_T1_AD11P_15,UNUSED,,15,,,,,,,,,
C1,,IOB33S,IO_L16N_T2_35,UNUSED,,35,,,,,,,,,
C2,,IOB33M,IO_L16P_T2_35,UNUSED,,35,,,,,,,,,
C3,,,VCCO_35,,,35,,,,,3.30,,,,
C4,,IOB33M,IO_L7P_T1_AD6P_35,UNUSED,,35,,,,,,,,,
C5,vgared<2>,IOB33,IO_L1N_T0_AD4N_35,OUTPUT,LVCMOS33,35,12,SLOW,,,,LOCATED,NO,NONE,
